/Path;has_COHORT1;has_COHORT2;has_COHORT3;has_COHORT4;has_COHORT5;has_COHORT6;has_COHORT7;has_COHORT8;has_COHORT9;has_COHORT10;conversionsrate/
52;0;1;0;1;1;0;0;1;0;0;0
52;0;1;0;1;1;0;0;1;0;0;0
88;0;1;0;1;1;0;1;0;1;0;0
88;0;1;0;1;1;0;1;0;1;0;0
88;0;1;0;1;1;0;1;0;1;0;0
88;0;1;0;1;1;0;1;0;1;0;0
88;0;1;0;1;1;0;1;0;1;0;0
88;0;1;0;1;1;0;1;0;1;0;0
88;0;1;0;1;1;0;1;0;1;0;0
88;0;1;0;1;1;0;1;0;1;0;0
88;0;1;0;1;1;0;1;0;1;0;0
88;0;1;0;1;1;0;1;0;1;0;0
88;0;1;0;1;1;0;1;0;1;0;0
88;0;1;0;1;1;0;1;0;1;0;0
88;0;1;0;1;1;0;1;0;1;0;0
88;0;1;0;1;1;0;1;0;1;0;0
88;0;1;0;1;1;0;1;0;1;0;0
29;0;1;0;1;1;0;0;1;1;0;0.02
29;0;1;0;1;1;0;0;1;1;0;0.02
29;0;1;0;1;1;0;0;1;1;0;0.02
29;0;1;0;1;1;0;0;1;1;0;0.02
29;0;1;0;1;1;0;0;1;1;0;0.02
29;0;1;0;1;1;0;0;1;1;0;0.02
29;0;1;0;1;1;0;0;1;1;0;0.02
29;0;1;0;1;1;0;0;1;1;0;0.02
29;0;1;0;1;1;0;0;1;1;0;0.02
29;0;1;0;1;1;0;0;1;1;0;0.02
29;0;1;0;1;1;0;0;1;1;0;0.02
29;0;1;0;1;1;0;0;1;1;0;0.02
29;0;1;0;1;1;0;0;1;1;0;0.02
29;0;1;0;1;1;0;0;1;1;0;0.02
29;0;1;0;1;1;0;0;1;1;0;0.02
118;0;1;1;1;0;0;1;0;0;0;0
118;0;1;1;1;0;0;1;0;0;0;0
118;0;1;1;1;0;0;1;0;0;0;0
118;0;1;1;1;0;0;1;0;0;0;0
118;0;1;1;1;0;0;1;0;0;0;0
118;0;1;1;1;0;0;1;0;0;0;0
118;0;1;1;1;0;0;1;0;0;0;0
118;0;1;1;1;0;0;1;0;0;0;0
118;0;1;1;1;0;0;1;0;0;0;0
118;0;1;1;1;0;0;1;0;0;0;0
118;0;1;1;1;0;0;1;0;0;0;0
118;0;1;1;1;0;0;1;0;0;0;0
118;0;1;1;1;0;0;1;0;0;0;0
118;0;1;1;1;0;0;1;0;0;0;0
118;0;1;1;1;0;0;1;0;0;0;0
118;0;1;1;1;0;0;1;0;0;0;0
118;0;1;1;1;0;0;1;0;0;0;0
118;0;1;1;1;0;0;1;0;0;0;0
34;0;0;1;1;0;0;1;0;1;0;0
34;0;0;1;1;0;0;1;0;1;0;0
34;0;0;1;1;0;0;1;0;1;0;0
34;0;0;1;1;0;0;1;0;1;0;0
34;0;0;1;1;0;0;1;0;1;0;0
34;0;0;1;1;0;0;1;0;1;0;0
34;0;0;1;1;0;0;1;0;1;0;0
34;0;0;1;1;0;0;1;0;1;0;0
34;0;0;1;1;0;0;1;0;1;0;0
34;0;0;1;1;0;0;1;0;1;0;0
34;0;0;1;1;0;0;1;0;1;0;0
34;0;0;1;1;0;0;1;0;1;0;0
34;0;0;1;1;0;0;1;0;1;0;0
34;0;0;1;1;0;0;1;0;1;0;0
34;0;0;1;1;0;0;1;0;1;0;0
34;0;0;1;1;0;0;1;0;1;0;0
34;0;0;1;1;0;0;1;0;1;0;0
34;0;0;1;1;0;0;1;0;1;0;0
34;0;0;1;1;0;0;1;0;1;0;0
110;0;0;1;1;1;0;0;0;1;0;0
110;0;0;1;1;1;0;0;0;1;0;0
110;0;0;1;1;1;0;0;0;1;0;0
110;0;0;1;1;1;0;0;0;1;0;0
110;0;0;1;1;1;0;0;0;1;0;0
110;0;0;1;1;1;0;0;0;1;0;0
110;0;0;1;1;1;0;0;0;1;0;0
110;0;0;1;1;1;0;0;0;1;0;0
110;0;0;1;1;1;0;0;0;1;0;0
110;0;0;1;1;1;0;0;0;1;0;0
110;0;0;1;1;1;0;0;0;1;0;0
110;0;0;1;1;1;0;0;0;1;0;0
110;0;0;1;1;1;0;0;0;1;0;0
110;0;0;1;1;1;0;0;0;1;0;0
110;0;0;1;1;1;0;0;0;1;0;0
110;0;0;1;1;1;0;0;0;1;0;0
110;0;0;1;1;1;0;0;0;1;0;0
110;0;0;1;1;1;0;0;0;1;0;0
110;0;0;1;1;1;0;0;0;1;0;0
110;0;0;1;1;1;0;0;0;1;0;0
65;0;1;0;1;1;0;0;0;0;0;0
65;0;1;0;1;1;0;0;0;0;0;0
65;0;1;0;1;1;0;0;0;0;0;0
65;0;1;0;1;1;0;0;0;0;0;0
65;0;1;0;1;1;0;0;0;0;0;0
65;0;1;0;1;1;0;0;0;0;0;0
65;0;1;0;1;1;0;0;0;0;0;0
65;0;1;0;1;1;0;0;0;0;0;0
65;0;1;0;1;1;0;0;0;0;0;0
65;0;1;0;1;1;0;0;0;0;0;0
65;0;1;0;1;1;0;0;0;0;0;0
65;0;1;0;1;1;0;0;0;0;0;0
65;0;1;0;1;1;0;0;0;0;0;0
65;0;1;0;1;1;0;0;0;0;0;0
65;0;1;0;1;1;0;0;0;0;0;0
65;0;1;0;1;1;0;0;0;0;0;0
65;0;1;0;1;1;0;0;0;0;0;0
65;0;1;0;1;1;0;0;0;0;0;0
65;0;1;0;1;1;0;0;0;0;0;0
65;0;1;0;1;1;0;0;0;0;0;0
12;0;1;0;1;0;0;1;0;0;0;0
12;0;1;0;1;0;0;1;0;0;0;0
12;0;1;0;1;0;0;1;0;0;0;0
12;0;1;0;1;0;0;1;0;0;0;0
12;0;1;0;1;0;0;1;0;0;0;0
12;0;1;0;1;0;0;1;0;0;0;0
12;0;1;0;1;0;0;1;0;0;0;0
12;0;1;0;1;0;0;1;0;0;0;0
12;0;1;0;1;0;0;1;0;0;0;0
12;0;1;0;1;0;0;1;0;0;0;0
12;0;1;0;1;0;0;1;0;0;0;0
12;0;1;0;1;0;0;1;0;0;0;0
12;0;1;0;1;0;0;1;0;0;0;0
12;0;1;0;1;0;0;1;0;0;0;0
12;0;1;0;1;0;0;1;0;0;0;0
12;0;1;0;1;0;0;1;0;0;0;0
12;0;1;0;1;0;0;1;0;0;0;0
12;0;1;0;1;0;0;1;0;0;0;0
12;0;1;0;1;0;0;1;0;0;0;0
12;0;1;0;1;0;0;1;0;0;0;0
12;0;1;0;1;0;0;1;0;0;0;0
12;0;1;0;1;0;0;1;0;0;0;0
12;0;1;0;1;0;0;1;0;0;0;0
12;0;1;0;1;0;0;1;0;0;0;0
12;0;1;0;1;0;0;1;0;0;0;0
12;0;1;0;1;0;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
25;0;1;0;1;1;0;1;0;0;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
72;0;0;1;1;0;0;0;0;1;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
37;0;0;1;1;1;0;1;0;0;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
17;0;0;1;1;1;0;1;0;1;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
56;0;0;0;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
28;0;1;1;1;1;0;1;0;0;0;0
55;0;0;0;1;1;0;0;0;1;0;0
55;0;0;0;1;1;0;0;0;1;0;0
55;0;0;0;1;1;0;0;0;1;0;0
55;0;0;0;1;1;0;0;0;1;0;0
55;0;0;0;1;1;0;0;0;1;0;0
55;0;0;0;1;1;0;0;0;1;0;0
55;0;0;0;1;1;0;0;0;1;0;0
55;0;0;0;1;1;0;0;0;1;0;0
55;0;0;0;1;1;0;0;0;1;0;0
55;0;0;0;1;1;0;0;0;1;0;0
55;0;0;0;1;1;0;0;0;1;0;0
55;0;0;0;1;1;0;0;0;1;0;0
55;0;0;0;1;1;0;0;0;1;0;0
55;0;0;0;1;1;0;0;0;1;0;0
55;0;0;0;1;1;0;0;0;1;0;0
55;0;0;0;1;1;0;0;0;1;0;0
55;0;0;0;1;1;0;0;0;1;0;0
55;0;0;0;1;1;0;0;0;1;0;0
55;0;0;0;1;1;0;0;0;1;0;0
55;0;0;0;1;1;0;0;0;1;0;0
55;0;0;0;1;1;0;0;0;1;0;0
55;0;0;0;1;1;0;0;0;1;0;0
